site,description,url
amazon,EVGA 3080 FTW3,https://www.amazon.com/gp/product/B08HR3Y5GQ/ref=ox_sc_saved_title_1?smid=&psc=1
amazon,ASUS TUF 3080,https://www.amazon.com/ASUS-GeForce-Graphics-DisplayPort-Bearings/dp/B08HH5WF97?ref_=ast_sto_dp
amazon,ASUS Strix 3080,https://www.amazon.com/ASUS-Graphics-DisplayPort-Axial-Tech-2-9-Slot/dp/B08J6F174Z?ref_=ast_sto_dp
amazon,EVGA RTX 3080 Ti,https://www.amazon.com/dp/B09622N253?tag=brobot01-20
amazon,Founders RTX 3080 Ti,https://www.amazon.com/dp/B096L83WV8?tag=brobot01-20
amazon,Zotac Gaming RTX 3080 Ti,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30810D-10P/dp/B0964DB2P9/ref=sr_1_4?dchild=1&keywords=rtx+3080+ti&qid=1623172320&s=electronics&sr=1-4
amazon,MSI Gaming RTX 3080 Ti,https://www.amazon.com/MSI-GeForce-Tri-Frozr-Architecture-Graphics/dp/B095W3S3LF/ref=sr_1_3?dchild=1&keywords=rtx+3080+ti&qid=1623172248&s=electronics&sr=1-3
bestbuy,XFX RX 6800 XT,https://www.bestbuy.com/site/xfx-amd-radeon-rx-6800xt-16gb-gddr6-pci-express-4-0-gaming-graphics-card-black/6441226.p?skuId=6441226
bestbuy,Merc 319 RX 6800 XT,https://www.bestbuy.com/site/xfx-merc-319-amd-radeon-rx-6800xt-16gb-gddr6-pci-express-4-0-gaming-graphics-card-black/6442585.p?skuId=6442585
bestbuy,Founders RTX3080 Ti,https://www.bestbuy.com/site/nvidia-geforce-rtx-3080-ti-12gb-gddr6x-pci-express-4-0-graphics-card-titanium-and-black/6462956.p?skuId=6462956
bestbuy,EVGA RTX3080 XC3,https://www.bestbuy.com/site/evga-geforce-rtx-3080-xc3-ultra-gaming-10gb-gddr6-pci-express-4-0-graphics-card/6432400.p?skuId=6432400
bestbuy,ASUS RTX3080 Strix,https://www.bestbuy.com/site/asus-geforce-rtx-3080-10gb-gddr6x-pci-express-4-0-strix-graphics-card-black/6432445.p?skuId=6432445
bestbuy,Gigabyte RTX3080 Gaming OC,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-rtx-3080-gaming-oc-10gb-gddr6x-pci-express-4-0-graphics-card/6430620.p?skuId=6430620
